Time (s),Thrust (N)
0,0
0.03,4036.411823544404
0.06,4058.3995817886585
0.09,4080.377642181415
0.12,4102.345473575646
0.15,4124.3025450394225
0.18,4146.248325870123
0.21,4168.182285608635
0.24,4190.103894053497
0.27,4212.012621275055
0.30000000000000004,4233.907937629546
0.33000000000000007,4255.789313773185
0.3600000000000001,4277.656220676202
0.3900000000000001,4299.508129636869
0.42000000000000015,4321.344512295474
0.4500000000000002,4343.164840648293
0.4800000000000002,4364.968587061496
0.5100000000000002,4386.755224285067
0.5400000000000003,4408.524225466658
0.5700000000000003,4430.275064165427
0.6000000000000003,4452.007214365854
0.6300000000000003,4473.720150491493
0.6600000000000004,4495.413347418756
0.6900000000000004,4517.086280490585
0.7200000000000004,4538.738425530169
0.7500000000000004,4560.3692588545755
0.7800000000000005,4581.978257288381
0.8100000000000005,4603.564898177254
0.8400000000000005,4625.128659401519
0.8700000000000006,4646.669019389685
0.9000000000000006,4668.185457131916
0.9300000000000006,4689.677452193533
0.9600000000000006,4711.144484728406
0.9900000000000007,4732.586035492365
1.0200000000000007,4754.0015858565785
1.0500000000000007,4775.390617820861
1.0800000000000007,4796.7526140269865
1.1100000000000008,4818.087057771944
1.1400000000000008,4839.393433021183
1.1700000000000008,4860.671224421817
1.2000000000000008,4881.919917315759
1.2300000000000009,4903.138997752876
1.260000000000001,4924.327952504092
1.290000000000001,4945.486269074445
1.320000000000001,4966.613435716111
1.350000000000001,4987.708941441406
1.380000000000001,5008.772276035739
1.410000000000001,5029.8029300705675
1.440000000000001,5050.800394916242
1.470000000000001,5071.764162754905
1.500000000000001,5092.693726593296
1.5300000000000011,5113.588580275529
1.5600000000000012,5134.4482184958615
1.5900000000000012,5155.272136811412
1.6200000000000012,5176.0598316548085
1.6500000000000012,5196.810800346878
1.6800000000000013,5217.524541109212
1.7100000000000013,5238.200553076778
1.7400000000000013,5258.838336310425
1.7700000000000014,5279.437391809394
1.8000000000000014,5299.997221523785
1.8300000000000014,5320.517328366983
1.8600000000000014,5340.997216228033
1.8900000000000015,5361.436389984014
1.9200000000000015,5381.834355512335
1.9500000000000015,5402.19061970302
1.9800000000000015,5422.504690470956
2.0100000000000016,5442.776076768081
2.0400000000000014,5463.004288595563
2.070000000000001,5483.18883701591
2.100000000000001,5503.329234165074
2.130000000000001,5523.424993264494
2.1600000000000006,5543.475628633111
2.1900000000000004,5563.4806556993335
2.22,5583.439591012989
2.25,5603.351952257207
2.28,5623.217258260263
2.3099999999999996,5643.035029007435
2.3399999999999994,5662.804785652738
2.369999999999999,5682.526050530693
2.399999999999999,5702.198347168017
2.429999999999999,5721.821200295282
2.4599999999999986,5741.394135858532
2.4899999999999984,5760.916681030869
2.5199999999999982,5780.388364223987
2.549999999999998,5799.8087150996735
2.579999999999998,5819.177264581272
2.6099999999999977,5838.493544865096
2.6399999999999975,5857.757089431801
2.6699999999999973,5876.967433057736
2.699999999999997,5896.124111826227
2.729999999999997,5915.226663138831
2.7599999999999967,5934.274625726554
2.7899999999999965,5953.267539661035
2.8199999999999963,5972.204946365642
2.849999999999996,5991.086388626586
2.879999999999996,6009.911410603971
2.9099999999999957,6028.679557842782
2.9399999999999955,6047.390377283858
2.9699999999999953,6066.0434172748055
2.999999999999995,6084.638227580873
3.029999999999995,6103.1743593958145
3.0599999999999947,6121.651365352625
3.0899999999999945,6140.06879953435
3.1199999999999943,6158.42621748476
3.149999999999994,6176.723176219012
3.179999999999994,6194.9592342342785
3.2099999999999937,6213.133951520323
3.2399999999999936,6231.246889570035
3.2699999999999934,6249.297611389912
3.299999999999993,6267.285681510515
3.329999999999993,6285.210665996857
3.3599999999999928,6303.072132458773
3.3899999999999926,6320.869650061221
3.4199999999999924,6338.60278953457
3.449999999999992,6356.271123184796
3.479999999999992,6373.87422490369
3.509999999999992,6391.411670178984
3.5399999999999916,6408.883036104433
3.5699999999999914,6426.287901389856
3.599999999999991,6443.6258463711665
3.629999999999991,6460.896453020292
